girth = 8	31000 cycles
EMD	Number
3	1000
4	500
5	500
6	3000
7	2000
8	1000
9	1000
10	2500
11	2000
12	4000
13	1500
14	1000
15	2000
16	2000
17	1000
18	1000
19	500
20	2000
21	500
24	1500
28	500
girth = 10	419000 cycles
EMD	Number
3	500
4	4500
5	2000
6	4000
7	15000
8	19000
9	14000
10	26000
11	20500
12	25000
13	38500
14	26500
15	24000
16	37500
17	19500
18	43500
19	19500
20	18000
21	7500
22	24500
23	8500
24	10500
25	1000
26	1000
27	5500
28	1500
29	1500
girth = 12	7429000 cycles
EMD	Number
2	1000
3	1500
4	20000
5	27000
6	21000
7	55500
8	141500
9	152500
10	212500
11	277500
12	337500
13	447500
14	571500
15	431000
16	527000
17	590500
18	464000
19	577000
20	400500
21	330500
22	423000
23	317000
24	251500
25	218000
26	160500
27	104500
28	127500
29	61000
30	49500
31	36500
32	21500
33	28500
34	12000
35	18500
36	12500
